Date,Open,High,Low,Close,Volume,Adj Close,Daily_Change,Delta_Change,Volatility
2017-02-14,133.470001,135.08999599999999,133.25,135.020004,32815500,135.020004,1.840,1.30%,425922
2017-02-13,133.080002,133.820007,132.75,133.28999299999998,23035400,133.28999299999998,1.070,0.89%,203991
2017-02-10,132.46000700000002,132.940002,132.050003,132.119995,20065500,132.119995,0.890,-0.23%,45459
2017-02-09,131.649994,132.449997,131.119995,132.419998,28349900,132.419998,1.330,0.72%,204856
2017-02-08,131.350006,132.220001,131.220001,132.03999299999998,23004100,131.46999399999999,1.000,0.39%,89196
2017-02-07,130.53999299999998,132.08999599999999,130.449997,131.529999,38183800,130.962201,1.640,0.95%,363405
2017-02-06,129.130005,130.5,128.899994,130.28999299999998,26845900,129.727549,1.600,0.94%,251652
2017-02-03,128.309998,129.190002,128.16000400000001,129.080002,24507300,128.522781,1.030,0.43%,104871
2017-02-02,127.980003,129.389999,127.779999,128.529999,33710400,127.97515200000001,1.610,-0.17%,57602
2017-02-01,127.029999,130.490005,127.010002,128.75,111985000,128.19420300000002,3.480,6.10%,6828917
2017-01-31,121.150002,121.389999,120.620003,121.349998,49201000,120.82614699999999,0.770,-0.23%,113263
2017-01-30,120.93,121.629997,120.660004,121.629997,30377500,121.104937,0.970,-0.26%,79711
2017-01-27,122.139999,122.349998,121.599998,121.949997,20562900,121.42355500000001,0.750,0.01%,1685
2017-01-26,121.66999799999999,122.440002,121.599998,121.940002,26337600,121.413604,0.840,0.05%,12966
2017-01-25,120.41999799999999,122.099998,120.279999,121.879997,32377600,121.353858,1.820,1.59%,515471
2017-01-24,119.550003,120.099998,119.5,119.970001,23211000,119.45210700000001,0.600,-0.09%,21262
2017-01-23,120.0,120.809998,119.769997,120.08000200000001,22050200,119.561633,1.040,0.07%,14700
2017-01-20,120.449997,120.449997,119.730003,120.0,32597900,119.481976,0.720,0.18%,59872
2017-01-19,119.400002,120.089996,119.370003,119.779999,25597300,119.262925,0.720,-0.18%,44798
2017-01-18,120.0,120.5,119.709999,119.989998,23713000,119.472017,0.790,-0.01%,1976
2017-01-17,118.339996,120.239998,118.220001,120.0,34439800,119.481976,2.020,0.81%,277740
2017-01-13,119.110001,119.620003,118.809998,119.040001,26111900,118.52612099999999,0.810,-0.18%,45983
2017-01-12,118.900002,119.300003,118.209999,119.25,27086200,118.73521399999998,1.090,-0.42%,113094
2017-01-11,118.739998,119.93,118.599998,119.75,27588600,119.23305500000001,1.330,0.54%,148238
2017-01-10,118.769997,119.379997,118.300003,119.110001,24462100,118.59581899999999,1.080,0.10%,24670
2017-01-09,117.949997,119.43,117.940002,118.989998,33387600,118.47633400000001,1.490,0.92%,305813
2017-01-06,116.779999,118.160004,116.470001,117.910004,31751900,117.401002,1.690,1.11%,353979
2017-01-05,115.91999799999999,116.860001,115.809998,116.610001,22193600,116.10661100000002,1.050,0.51%,112862
2017-01-04,115.849998,116.510002,115.75,116.019997,21118100,115.519154,0.760,-0.11%,23637
2017-01-03,115.800003,116.33000200000001,114.760002,116.150002,28781900,115.648597,1.570,0.28%,82007
2016-12-30,116.650002,117.199997,115.43,115.82,30586300,115.32002,1.770,-0.78%,238444
2016-12-29,116.449997,117.110001,116.400002,116.730003,15039500,116.226096,0.710,-0.03%,3864
2016-12-28,117.519997,118.019997,116.199997,116.760002,20905900,116.25596499999999,1.820,-0.43%,89143
2016-12-27,116.519997,117.800003,116.489998,117.260002,18296900,116.75380600000001,1.310,0.64%,116201
2016-12-23,115.589996,116.519997,115.589996,116.519997,14249500,116.016995,0.930,0.20%,28182
2016-12-22,116.349998,116.510002,115.639999,116.290001,26085900,115.787993,0.870,-0.66%,171587
2016-12-21,116.800003,117.400002,116.779999,117.059998,23783200,116.55466499999999,0.620,0.09%,22370
2016-12-20,116.739998,117.5,116.68,116.949997,21425000,116.44513899999998,0.820,0.27%,56941
2016-12-19,115.800003,117.379997,115.75,116.639999,27779400,116.13648,1.630,0.58%,160491
2016-12-16,116.470001,116.5,115.650002,115.970001,44351100,115.469374,0.850,0.13%,57440
2016-12-15,115.379997,116.730003,115.230003,115.82,46524500,115.32002,1.500,0.55%,254451
2016-12-14,115.040001,116.199997,114.980003,115.190002,34031800,114.692743,1.220,0.00%,0
2016-12-13,113.839996,115.91999799999999,113.75,115.190002,43733800,114.692743,2.170,1.67%,729539
2016-12-12,113.290001,115.0,112.489998,113.300003,26374400,112.810902,2.510,-0.57%,150444
2016-12-09,112.309998,114.699997,112.309998,113.949997,34402600,113.45808999999998,2.390,1.63%,561510
2016-12-08,110.860001,112.43,110.599998,112.120003,27068300,111.63599599999999,1.830,0.98%,265735
2016-12-07,109.260002,111.190002,109.160004,111.029999,29998700,110.550697,2.030,0.98%,294666
2016-12-06,109.5,110.360001,109.190002,109.949997,26195500,109.47535800000001,1.170,0.77%,201669
2016-12-05,110.0,110.029999,108.25,109.110001,34324500,108.63898700000001,1.780,-0.72%,246737
2016-12-02,109.16999799999999,110.089996,108.849998,109.900002,26528000,109.425578,1.240,0.37%,99338
2016-12-01,110.370003,110.940002,109.029999,109.489998,37086900,109.017344,1.910,-0.93%,345634
2016-11-30,111.599998,112.199997,110.269997,110.519997,36162300,110.042897,1.930,-0.84%,304976
2016-11-29,110.779999,112.029999,110.07,111.459999,28528800,110.97884099999999,1.960,-0.10%,28127
2016-11-28,111.43,112.470001,111.389999,111.57,27194000,111.08836699999999,1.080,-0.20%,53517
2016-11-25,111.129997,111.870003,110.949997,111.790001,11475900,111.307418,0.920,0.50%,57776
2016-11-23,111.360001,111.510002,110.33000200000001,111.230003,27426400,110.74983799999998,1.180,-0.51%,139830
2016-11-22,111.949997,112.41999799999999,111.400002,111.800003,25965500,111.31737700000001,1.020,0.06%,16267
2016-11-21,110.120003,111.989998,110.010002,111.730003,29264600,111.24768,1.980,1.52%,444049
2016-11-18,109.720001,110.540001,109.660004,110.059998,28428900,109.584883,0.880,0.10%,28441
2016-11-17,109.809998,110.349998,108.83000200000001,109.949997,27632000,109.47535800000001,1.520,-0.04%,10049
2016-11-16,106.699997,110.230003,106.599998,109.989998,58840500,109.51518600000001,3.630,2.69%,1582116
2016-11-15,106.57,107.68,106.160004,107.110001,32264500,106.647621,1.520,1.32%,427304
2016-11-14,107.709999,107.809998,104.08000200000001,105.709999,51175500,105.25366299999999,3.730,-2.51%,1283753
2016-11-11,107.120003,108.870003,106.550003,108.43,34143900,107.961922,2.320,0.59%,202728
2016-11-10,111.089996,111.089996,105.83000200000001,107.790001,57134500,107.32468600000001,5.260,-2.79%,1592220
2016-11-09,109.879997,111.32,108.050003,110.879997,59176400,110.401343,3.270,-0.16%,95909
2016-11-08,110.309998,111.720001,109.699997,111.059998,24054500,110.58056599999999,2.020,0.59%,141611
2016-11-07,110.08000200000001,110.510002,109.459999,110.410004,32560000,109.933378,1.050,1.44%,469674
2016-11-04,108.529999,110.25,108.110001,108.839996,30837000,108.370149,2.140,-0.90%,277963
2016-11-03,110.980003,111.459999,109.550003,109.83000200000001,26932600,109.35588,1.910,-1.07%,288683
2016-11-02,111.400002,112.349998,111.230003,111.589996,28331700,110.54073700000001,1.120,0.09%,25411
2016-11-01,113.459999,113.769997,110.529999,111.489998,43825800,110.441678,3.240,-1.81%,791289
2016-10-31,113.650002,114.230003,113.199997,113.540001,26419400,112.472406,1.030,-0.16%,41817
2016-10-28,113.870003,115.209999,113.449997,113.720001,37861700,112.65071299999998,1.760,-0.66%,251353
2016-10-27,115.389999,115.860001,114.099998,114.480003,34562000,113.40356899999999,1.760,-0.96%,331893
2016-10-26,114.309998,115.699997,113.309998,115.589996,66134200,114.503125,2.390,-2.25%,1487672
2016-10-25,117.949997,118.360001,117.309998,118.25,48129000,117.13811799999999,1.050,0.51%,245451
2016-10-24,117.099998,117.739998,117.0,117.650002,23538700,116.543761,0.740,0.90%,211970
2016-10-21,116.809998,116.910004,116.279999,116.599998,23192700,115.503631,0.630,-0.39%,91137
2016-10-20,116.860001,117.379997,116.33000200000001,117.059998,24125800,115.959304,1.050,-0.05%,12360
2016-10-19,117.25,117.760002,113.800003,117.120003,20034600,116.018745,3.960,-0.30%,59692
2016-10-18,118.18,118.209999,117.449997,117.470001,24553500,116.365453,0.760,-0.07%,16710
2016-10-17,117.33000200000001,117.839996,116.779999,117.550003,23624900,116.444703,1.060,-0.07%,16066
2016-10-14,117.879997,118.16999799999999,117.129997,117.629997,35652200,116.523945,1.040,0.56%,198100
2016-10-13,116.790001,117.440002,115.720001,116.980003,35192400,115.88006200000001,1.720,-0.31%,107968
2016-10-12,117.349998,117.980003,116.75,117.339996,37586800,116.23666999999999,1.230,0.89%,336113
2016-10-11,117.699997,118.690002,116.199997,116.300003,64041000,115.206456,2.490,0.22%,137959
2016-10-10,115.019997,116.75,114.720001,116.050003,36236000,114.95880700000001,2.030,1.74%,632209
2016-10-07,114.309998,114.559998,113.510002,114.059998,24358400,112.98751299999999,1.050,0.15%,36358
2016-10-06,113.699997,114.339996,113.129997,113.889999,28779300,112.81911299999999,1.210,0.74%,213839
2016-10-05,113.400002,113.660004,112.690002,113.050003,21453100,111.98701499999999,0.970,0.04%,9493
2016-10-04,113.059998,114.309998,112.629997,113.0,29736800,111.937482,1.680,0.43%,126855
2016-10-03,112.709999,113.050003,112.279999,112.519997,21701800,111.461992,0.770,-0.47%,101743
2016-09-30,112.459999,113.370003,111.800003,113.050003,36379100,111.98701499999999,1.570,0.78%,282135
2016-09-29,113.160004,113.800003,111.800003,112.18,35887000,111.125193,2.000,-1.55%,557436
2016-09-28,113.690002,114.639999,113.43,113.949997,29641100,112.878547,1.210,0.76%,225407
2016-09-27,113.0,113.18,112.339996,113.089996,24607400,112.026632,0.840,0.19%,45778
2016-09-26,111.639999,113.389999,111.550003,112.879997,29869400,111.81860800000001,1.840,0.15%,45051
2016-09-23,114.41999799999999,114.790001,111.550003,112.709999,52481200,111.650208,3.240,-1.67%,874535
2016-09-22,114.349998,114.940002,114.0,114.620003,31074000,113.542252,0.940,0.94%,292815
2016-09-21,113.849998,113.989998,112.440002,113.550003,36003200,112.48231399999999,1.550,-0.02%,6339
2016-09-20,113.050003,114.120003,112.510002,113.57,34514300,112.502122,1.610,-0.01%,3039
2016-09-19,115.190002,116.18,113.25,113.58000200000001,47023000,112.51203000000001,2.930,-1.17%,548300
2016-09-16,115.120003,116.129997,114.040001,114.91999799999999,79886900,113.839427,2.090,-0.56%,449308
2016-09-15,113.860001,115.730003,113.489998,115.57,89983600,114.483317,2.240,3.40%,3059300
2016-09-14,108.730003,113.029999,108.599998,111.769997,110888700,110.719044,4.430,3.54%,3923990
2016-09-13,107.510002,108.790001,107.239998,107.949997,62176200,106.93496299999998,1.550,2.38%,1480101
2016-09-12,102.650002,105.720001,102.529999,105.440002,45292800,104.44856999999999,3.190,2.24%,1014511
2016-09-09,104.639999,105.720001,103.129997,103.129997,46557000,102.160285,2.590,-2.26%,1054503
2016-09-08,107.25,107.269997,105.239998,105.519997,53002000,104.527812,2.030,-2.62%,1389127
2016-09-07,107.83000200000001,108.760002,107.07,108.360001,42364300,107.34111200000001,1.690,0.61%,259615
2016-09-06,107.900002,108.300003,107.510002,107.699997,26880400,106.68731399999999,0.790,-0.03%,7487
2016-09-02,107.699997,108.0,106.82,107.730003,26802500,106.71703799999999,1.180,0.94%,251124
2016-09-01,106.139999,106.800003,105.620003,106.730003,26701500,105.726441,1.180,0.59%,158549
2016-08-31,105.660004,106.57,105.639999,106.099998,29662400,105.10236,0.930,0.09%,27982
2016-08-30,105.800003,106.5,105.5,106.0,24863900,105.003302,1.000,-0.77%,190866
2016-08-29,106.620003,107.440002,106.290001,106.82,24970300,105.815591,1.150,-0.11%,28020
